file_name,caption_1,caption_2,caption_3,caption_4,caption_5
"Chinese Restaurant Atmo, Germany, Subtle.wav",Dishes are being clanged and scraped together and children are talking.,Dishes are clanging whiles plates are scraping and children are talking.,Several people are in a restaurant chatting with dishes clanging in the background.,Several people in a restaurant chatting with dishes clanging in the background.,Some plates and dishes are clanking and a lot of inaudible speech is being said.
wood desk Open and close.wav,A machine is sorting or breaking up cards or thick card stock made of paper.,A machine sorts out or groups cards or a thick card stock made of paper.,A rhythmic sliding with a thud every time one end is met.,Rhythmic sliding with a thud every time one end is met.,someone is chopping wood for the fire outside very slowly
Chris&#39; Elevator.wav,A closet door slides open then a chair rolls across the floor.,A freight elevator being loaded and going up the shift and stopping at a floor.,A freight elevator was loaded and went up the shaft to stop at a floor above.,A person opens a large closet and moves items around.,A steel door opens and then is pushed back on a bar with roller wheels.
Chris&#39; window noise.wav,A howling wind blows harshly as pieces of ice slam into a hard surface.,A strong gust blows several metal objects into clinking against each other.,The wind blowing through a porch and blowing a can around.,The wind blows on the porch and a can is blowing in the wind.,The wind howls through the window as the hail falls on the roof.
Skate pass on road 4.wav,A person is riding a skateboard on the pavement.,A skateboard clatters and vibrates as it gathers speed across concrete and stops.,A skateboard moves over pavement increasing and decreasing in speed.,Going slower and faster a skateboard glides over the pavement.,Someone is rolling down the sidewalk on a skateboard.
Chuck-will&#39;s-widow.wav,A bird singing cheerfully with a mild echo.,Welcoming and mild echo is occurring while a bird is singing cheerfully.,"In a confined space, a bird is singing and chirping.",It is a bird chirping sounds in the background.,It sounds to me like a bird chirping.
Cicada-Indian Insect Sound.wav,A cricket continuously chirps while wind blows in the background.,"A snake is rattling its tail, and crickets are chirping.",Bugs are buzzing and then pulsating before they become quiet.,Bugs buzzing and then pulsating before they die down.,Crickets are chirping while a snake is rattling its tail.
distant cars.wav,"Crickets chirp in the background, and cars drive down the road.",Crickets chirping with vehicles running in the background outside and some light bird chirping at the end.,People are travelling at dusk with crickets chirping in the back round.,Someone is driving at night with the windows down while bugs are chirping.,crickets in the background and cars travelling down the road.
Cigarette_roll_pack.wav,A fireplace that is being cleaned out by someone.,"A person scrapes a surface, then the person bangs the scraper on an edge of the surface.",A wooden object is tapped on a ceramic bowl.,"A person scrapes a surface, then bangs the scraper on an edge.",Wood is rapped across the surface of a ceramic bowl
DePanne.wav,"As waves crash in all along the coast, blustery winds cause interference.",Heavy rain pouring down while the wind howls in the background.,"Rain falls steadily, and a heavy wind blows.",Waves are crashing in along the coast as blustery winds cause interference.,Wind blows heavily and rain falls at a steady rate.
Marina Ambient.wav,"A bird chirps a few times, while cars drive in the distance.",An airplane is passing by overhead and birds are chirping near a waterway.,An airplane passing by overhead and birds chirping near a waterway.,Cars are driving in the distance and a bird chirps a few times.,It is storming out and a lonely seagull calls out.
Sticks Hitting sticks.wav,A soft splash resonates as a wooden rod hits the water.,A tennis ball going back and forth being hit.,A tennis ball is being hit and going back and forth.,Someone is carving and cutting wood with a chisel and a hammer,Someone outside hitting a tree with a baseball bat.
window_cleaning.wav,A couple of persons are playing on adjacent sides of a window using their fingers to make sounds.,A person cleans a window until it squeaks and another person plays a musical horn several times,A person is wiping down a window and it squeaks and someone blows a musical horn a few times.,"Two people are playing on either side of a glass pane, making noises with their fingers.",cleaning a house or car glass windows squeaking
coffe_machine.wav,"A vending machine is brewing, preparing and pouring out a drink for the customer.",An axe is chopping wood and in the background a saw buzzes.,Someone is vacuuming the floor and picking up some larger pieces of something.,"The vending machine brews, prepares and pours the drink of the customer.",someone making coffee or a similar drink with a piece of kitchen equipment
Fireworks-close-01nov2014.wav,Fireworks are lit and launched up into the sky and exploding.,Fireworks being lit and fired up in the sky and exploding.,Fireworks shoot off and then pop a little later.,Tape is stretched and then the taped up boxes are taken away,The fireworks shoot off and then pop a little later.
coffeeMachine_makingCoffe.wav,A blender is being operated at different speeds.,A machine drill begins to run and then the machine begins to hum.,At different speeds a blender is being operated.,The compressor turns on and off after an electric drill is used.,"The engine in an electric screwdriver begins to run, stops, and then slowly starts up again."
CoinSpin.wav,"A coin falling on the ground, and a second coin spinning before it falls.",A coin falls on the ground then rolls before slowing down and stopping.,"A coin is dropped, it is then picked up and is spinning.","The coin dropped, spins and starts to fall as it is picked up.",one coin hit the floor and settled one coin hit the floor and took a second to stop spinning
Pencil Scratch 2.wav,A pencil scratches rhythmically against a page of paper.,A person drawing on a piece of paper.,Someone is drawing and coloring the drawing with a pencil,Someone is drawing and coloring the drawing with pencils.,Someone is using chalk to write on a chalkboard.
ComeAndGo-metro-BCN.wav,A machine with a conveyor belt or traffic passing by in the distance.,An electric tram moving away from one station accelerating then slowing for the next stop,"People talk in the subway station, as trains speed by.",The electric tram drives away from the current station then slows down for its next stop.,Train moving through a tunnel at varying speeds.
froggies.wav,A large group of frogs are croaking with each other.,A lot of frogs are croaking and singing loudly.,Crickets and frogs crowing at night to make the night sounds.,Several frogs are croaking and katydids join in.,a lot of frogs are croaking together loudly
Construction 1.wav,A beep indicates a truck in backing up.,A motor runs outdoors on a windy day.,"A truck is moving in reverse with its backup alarm is beeping, then it switches to drive.",A vehicle revving up while it is backing up.,Construction sounds in the background along with the back up alarm of a truck.
MicroscopeSlides.wav,A file is scraping against another hard object in an irregular way.,A knife is used by a person carving some wood.,A piece of wood that is being carved out.,Someone is using chalk and a straight edge to do some work on concrete.,Someone carves a piece of wood with a knife.
construction site 1.wav,A machine is running fast and some people are talking along in it.,A moving bus has its passengers talking in the background and then a horn blared from afar,People are in a restaurant moving dishes and speaking when a machine runs.,People in a restaurant are rattling crockery and cutlery before a restaurant device whirs into operation.,"The passengers in the moving bus talked in the background, and then a horn blared from afar."
Maas 02 100215.wav,Noise from a highway is in the distance while splashing water is nearby.,Splashing in nearby water and a highway in the far distance.,The motor swishes the wet was of the washing machine.,Traffic roars by while waves gently lap at an obstacle in their way.,Waves gently lap at an obstacle in their way as traffic roars by.
Noisy Old Elevator.wav,A door slowly closed and dropped to the lock which bumped together,An engine is started and then someone opens a heavy door and steps outside before closing it again.,An engine is whirring and then someone opens a heavy door and steps outside before closing it again,Someone is rolling a cart and running a food counter while someone else runs up the stairs.,When the door slowly closed the lock dropped together with a thud.
Cookie pan hit.wav,A golf ball collides with a metal plate thirteen times.,A hard object is striking another hollow metal object in an irregular fashion.,A hard object strikes a hollow metal object irregularly.,A loud bang of a metal material occurs many times.,A loud banging of a metal material occurs several times.
Generator.wav,A chain is being pulled from a reel and patted and pulled once again.,A chain was being dragged on a hard surface.,"On a hard surface, some heavy objects are being moved, shifted and rearranged.",Paper is pulled and wrapped around an object while a staple is used.,a chain being dragged on a hard surface
Hospital corridor.wav,A person in a kitchen is talking and making dough,A person is making some dough in a kitchen and talking,Hard objects are scraping and banging against each other and people are talking close by.,People are talking near where hard objects are scraping and then banging against each other.,Various items are being placed in bags as a woman speaks to another woman.
Cooking with Gas ( Like a Rocket).wav,A furnace being ignited and it then blasts a large amount of heat and noise.,"A furnace ignites, then blasts a large amount of heat and noise.",A person uses a blowtorch on several pieces of metal.,A person using a blowtorch on several pieces of metal,a large grinder starts up and begins grinding objects
cooking_02.wav,Running water is used to sluice something metallic.,The metallic object was rinsed under the running water.,The water loudly gurgled with the clanking of pots and pans.,Water is running over all the metal utensils while they are being cleaned.,Water was running over metal utensils while they were being washed
Kitchen Noise From Distance.wav,Dishes being gathered together for some kind of use.,Someone putting dishes away in the kitchen cabinet.,The dishes are being put away in the kitchen.,The eating utensil is set down before the next place is arranged at the table.,"Within a nearby room, silverware is being fumbled."
R09_0007.wav,"The applause of a crowd continues steadily, but fails to erupt.",A group of people have been clapping in rhythm.,A large group of people are clapping their hands.,A large group of people clap their hands.,a group of people are clapping in rhythm
countdownandcheer_01.wav,"A group of people are chanting, at the end there is percussion noises and cheering.",A group of people chant clapping along till the end where the let out screams.,A large group of people chanting with cheers at the end and accompanying percussion.,Many different voices are chanting and then celebrating.,Several people chanting then cheering in celebration with people also cheering in the background.
countdownandcheer_02.wav,"A group of people chant, then set off fireworks.","A group of people chant, then shoot fireworks.",A group of people chanting and then setting off fireworks.,"after chanting for ten seconds, a group of revelers set off their fireworks.",sound of many people chanting until the ignition of a fireworks display.
Light Rain on Windscreen.wav,A light rain was falling on a plastic sheet,Plastic sheeting was being hit with light rain.,Rain patters on the outside of a tin roof.,Water heavily drips onto a percussive plastic container,Water is heavily dripping onto a percussive plastic container
Crane ship unloading sand 1.wav,Bangs and buzzes proceed from working machinery in the background.,Someone is operating a large machine inside the room.,Someone operating a large machine in an enclosed room.,"While making locking and then unlocking noises, a mechanized gate swings from open to closed, going back and forth.",machinery sounds with a constant buzzing and banging background noise
Howling Storm.wav,A high pitched whistle is emitted from a machine.,A windstorm that is so strong that it is whistling.,Rushing wind picking up in speed as is starts to make a whistling sound.,The rushing wind starts to whistle as it picks up speed,The wind of a strong storm whistles as it blows
Oven Door.wav,A garage door is lifted and then quickly closed.,A garage door is quickly closed after being lifted.,A large door has a huge metal spring that stretches as the door is opened and closed.,A large door with huge metal spring that is stretched when opening.,A metal gate that is rusty being opened slowly.
SnappingBamboo.wav,A hard boiled egg is cracked then rolled to cause it to crack completely.,A person holding and breaking apart pieces of wood.,A person playing with an empty candy wrapper,A person plays with an empty candy wrapper,"To start a fire, a person is shaving wood."
Creek 115.wav,The water burbles as the stream goes downstream.,Water flowing in a stream as rain is falling.,Water is gently flowing in a small river.,Water is loudly flowing in a natural stream of water.,Water loudly flowing in a natural stream of water.
creek01a.wav,A loud rushing powerful water that is coming from farther up the stream.,The water flows at a constant rate of speed.,The water is flowing rapidly down a stream.,The water is flowing rather quickly down a stream,Water is flowing from a valve loudly and steady.
creeky chair.wav,A creaky wooden door is slowly opened and then closed by a person .,A person slowly opening and then closing a creaky wooden door.,An old wooden floorboard creaking and moaning under the weight of someone.,One hard object being dragged and scrapped against another hard wooden object.,The old wooden floor is creaking as someone is walking or standing over it.
Crepe Making.wav,A fire crackles as bugs chirp in the wilderness,A fire in a fire pit is burning and a door opens.,A fire is burning in a fire pit then a door opens.,Water began to flow onto the bag and a container was sealed,Water started to flow on a plastic bag and a container was closed
Crickets and dogs barking at night in a residential district of Tucson. City and cars in the far background.wav,"Crickets chirp and dogs bark, while cars drive past.",Crickets chirp and then a dog barks off in the distance.,Crickets chirp nearby as the wind howls loudly.,"Dogs bark, one dog increasing in volume, surrounded by insects at night.",Insects at night while dogs bark and the bark of one dog becomes louder.
crickets and owls.wav,"An insect buzzes in the foreground, with a shrieking bird in the background.",Buzzing insect with a shrieking bird in the background.,Insect wings whir and pause in the background as a bird screeches and a dog barks.,Multiple insect wings alternately whir and pause in the background as a bird screeches and a dog barks.,in the forest with a little bit of rain and a bird talking and a wolf howling.
Crow noise.wav,A crow can be heard loudly and then it seems a person is imitating the sound.,A crow crows loudly as a person is heard imitating the sound.,Someone is pretending to be a hawk by making hawk noises.,Repeating of a grunting sound is done several times by a person.,a man making a sound twice loudly then one low sound.
Hail and Rain in the Courtyard.wav,A person is in the shower with the water running.,Being under a building while it is raining outside,Rain patters down rhythmically as thunder crashes from a distance.,Someone stands under a building while it is raining outside.,Stormy weather occurs over a cement stairwell and walkway.
transmission.wav,A couple of guys were talking when one of their cell phones started ringing.,Guys are talking and a cell phone rings.,Some people are talking beside a road while cars drive by.,Some people were talking beside the road with moving cars,Various people are talking while traffic passes by in the background.
Door Handle and Lock.wav,A clip clopping of a horse and crunching back and forth.,"A gun is loaded, then loaded by hand some more.","A person fumbles with the metal latch of a box, opening and closing it repeatedly.",Someone is assembling something with metal pieces and then locks it into place.,Someone is assembling something with metal pieces and then locks it swiftly into place.
Crumple Paper.wav,A piece of paper is crinkled and moved around multiple times.,Four times paper is crumpled into a ball,Paper is crumpled into a ball four times.,The crinkle of paper as if someone is wrapping something.,The crinkle of paper emanates as something is unwrapped
crumpling paper.wav,A cellophane bag is noisily crumpled as it is torn open.,A person crunching a potato chip bag and eating,A person holding and crinkling a bunch of paper.,A person is crinkling a bunch of paper.,someone tearing open and crumpling a cellophane bag
Crunching Snow Edited.wav,Leaves and branches crunch beneath the weight of another object.,Leaves and sticks crunch underneath footsteps on the trail.,Leaves and twigs are crunched under the weight of a heavier object.,"Shoes walking along a hard packed trail, covered with leaves and twigs.",someone is walking further and further away on a gravelled surface
cupboard-twang1.wav,A loose railing is being knocked upon for its reverb.,A pounding is performed on a surface that vibrates.,A small hammer being used against wooden material,"For its reverberation, a loose railing is being knocked.",The wood reverberates as it is hit by a stick.
Slider door.wav,"A person pulled the cord to lift the blinds, then open the window.","A sliding door screen is opened, then the glass sliding object is opened, then the glass sliding object is closed.","Moving through the plastic, and opening and shutting a drawer.",The wheel of the lawn mower squeaks as it cuts the grass.,"Three sets of doors are opened, including the glass, then the screen, then the glass again."
Dawn chorus - Makvaneti.wav,Bird chirping and the cock crowed and birds continued chirped,Birds are chirping and then a rooster crows and more birds chirp.,Many birds whistle continuously while a rooster crows in the distance.,"Many birds whistle continuously, a rooster crows in the distance.",With the Birds chirping the cock crowed and the birds continued to chirp.
DeLorean DMC-12  - Approach and Stop.wav,A motorcycle revs its engine louder and louder as cars pass by.,A person driving motorcycle coming into a garage.,A vehicle stops and the driver begins revving the engine as traffic goes by in the background.,"Drivers pass by with their motors running, or stop before revving up their motors again or remaining idle.",Someone on a motorcycle drives into a garage.
Deplacez-vous.wav,"A police siren, followed by a megaphone announcement, then short siren blasts.","An ambulance sound driving, stopping and starting again",A fire alarm going off and on with people talking,People are talking while an alarm goes off and on.,Sirens go off then a bit of talking followed by more sirens.
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 6mx15mx6m Part 2.wav,Footsteps walk on a wooden floor with an even rhythm and then increase their speed.,Footsteps walking along a wooden floor in an even rhythm then speeding up significantly.,Someone walking with a heavy foot and then picking up speed from a slow walk to a quick walk.,Steps cascade the plain wooden surface of the floor.,Steps cascade the wooden plain surface of the floor.
desertwind1FINAL.wav,"Air is rushing past, with a high pitched howl",As the air rushed past it made a high pitched howl.,Really muffled noise of wind blowing through an opening or a car driving.,The blustering wind rages outside throughout the storm.,The wind blowing hard outside during a storm.
T24_home_dishwasher_cycle change.wav,A monotone engine rumbles and water runs in the background making slight splashes as it pools.,An airplane engine humming then starts to rev up.,"As it forms a pool, water runs making slight splashes while a monotone engine rumbles.",Several cars drive down a street while a machine whirs in the background.,Several cars driving by on a street while a machine whirs in the background.
lets_go_to_see_it.wav,A car goes by as footsteps tread and fireworks burst.,Fireworks burst rapidly as footsteps fall and a car passes by.,Fireworks exploding in the distance while something crackles in the background.,"Large booms with small wet smacks, traffic passes in the distance","Nearby something crackles, as fireworks explode in the distance."
"Different birds, birds swimming, wind, footsteps.wav",A bird chirps as it gets closer and closer.,A bird is chipping very loud as it gets closer.,"In order to attract others, the birds were chirping, cawing, and calling out to other birds.",a bird screeching that goes in and out with other birds in the background,"Birds chirping, cawing, calling out to attract other birds."
Digging with shovel.wav,A shovel busily digs a hole in the ground or soil.,A boy is digging in some rocky ground.,Hitting rocks and breaking soil while shoveling into the ground.,Shoveling in the ground while hitting rocks and breaking soil.,shovel is being used to dig a hole in the ground
dish drumroll metal spoons.wav,As the silverware moves inside the glass container it makes clanking sounds.,"Inside a large glass pitcher, a tablespoon makes a clinking sound.",Silverware being banged and scraped against glass plates,Someone is clinging a piece of cutlery on a glass continuously.,Someone is clinging a piece of cutlery on a glass.
Dishwasher idling.wav,A buzzing and clicking in a small silent room.,A creaking hinge croaks as the object moves slowly.,A machine is performing some precise operation producing clip and winding noises repeatedly and regularly.,"A machine is performing some precise operation, producing clip and winding noises over and over.",Something in a small quiet room buzzes and clicks.
Distant Firework Barrage (Aerial cake).wav,A person sets off fireworks in the woods,Crickets chirp as fireworks explode in the distance,Fireworks are being set off in the woods.,Fireworks going off in the distance with crickets in the background.,a person fires a round from a pistol followed by rapid fire.
Shower turning on and off with drain noise.wav,A hose is being run while a generator is running in the background.,A person running a shower and adjusting the shower knob.,A person running the shower is adjusting the shower knobs.,Rain falling outside while dripping on a driveway.,Water falling within a shower followed by a knob being turned
St. Marks NWR Boat-tailed Grackle.wav,A bird is chirping and then flapping his wings over and over,Birds are chirping and cackling in an enclosed area while a child whimpers.,Birds are chirping and then they go quiet and a dove coos and birds start chirping again.,"Birds are chirping then go quiet, then a dove coos as the birds start chirping again.",Birds chirping and cackling in an enclosed area and a child whimpering in the background.
Medium Dog Growl.wav,A dog growling at another dog that is walking by.,A dog is growling rather furiously at something.,A large angry dog is growling at something indoors.,An angry dog grows fiercely and barks menacingly.,The snarling of a dog signals aggressive feelings toward a second dog passing by it.
Dog growling.wav,A dog is eating while growling at another approaching.,A dog is eating while at the same time snarling at another drawing nearer.,An animal chews and slurps as it eats.,An animal growling and licking in the foreground.,An animal growls and sniffs through its nose.
Dog walking on laminate.wav,A person quietly scrapes sticks against each other and intermittently blows at them to build friction and spark heat.,A person sniffs repeatedly while the sound of metal clicking speeds up.,A person sniffs repeatedly while a metal object is clicking speeds up.,Air blows onto objects as the objects rub against each other.,Someone blowing onto hard objects and the objects rubbing against each other.
Empty laundry.wav,A floor is being scrubbed as people talk in the background.,"A low, mechanical hum resonates in the background as a woman speaks briefly while sweeping the floor.","A low, mechanical hum resonates in the background as a woman sweeps the floor while conversing with someone else.",The vacuum cleaner runs as two woman talk in the background.,"in a large hall a machine working, female speaking"
Door creaking.wav,A door makes a high pitched sound as it is opened and closed a couple of times.,A door squeaks with a high pitch as it is opened.,An opening and closing cabinet door is creaking and squeaking.,A very squeaky cabinet door is being slowly opened and closed to maximize the creaking.,A wooden door very slowly opening and closing as it creaks.
Walking in Circles around fountain.wav,A person is walking near flowing water and sniffling while the wind blows.,Someone walking near the flowing water who is sniffling as the wind blows.,Water flows and wind blows as the person sniffles.,"Wind blows in the foreground, while water trickles in the background.",wind noises in the foreground with water noises in the background
door-knock-open-close-wooden_close.wav,A tapping on the door which then becomes louder followed by banging on the door.,"Door, knocking on hard surface with knuckles, then hitting hard surface with palm.",Knuckles rap on a door first gently then more violently.,Some tapping on the door then becomes louder followed by banging on the door.,"continuous tapping, knocking, pounding, hammering of objects into other objects"
Flat door action.wav,A door is pushed open on squeaky hinges and then pushed shut again.,Someone is opening and closing a squeaky door.,Someone repeatedly opens and closes a squeaky door.,Someone walks in and opens the wooden box before then leaving through a creaky door.,"a door being unlocked, unlatched, squeaking open and being closed again"
Downtown Cars drive by (wind).wav,A man briefly speaks into an audio device then a low static frequency resonates outward,A man is speaking close by and people are talking in the distance.,A man speaking close by and people talking in the distance.,A person whispers and then that individual sets down a cup.,A person whispers and then the person sets a cup down.
Drawers opening and closing.wav,A person slides a dresser drawer back and forth,An object being dragged across a hard surface in the foreground.,Plates of wood are pulled across a tabletop and then a small hammer is used to strike them.,Someone who is sweeping the floor with the back of a push broom.,The dresser is slid back and forth by the person.
Metal Bearing rolling spinning Start to Stop continuous Slow down creaky 2.wav,A glass marble came to a stop after it rolled around in a metal container.,An industrial metal working room with a spinning angle grinder which slows to a stall.,Metal is being shaped with a machine that files it against other metal.,The engine is running but then it slowly begins to stop.,"metal is being shaped, filed against other metal with machine"
Thunder Outside.wav,A thunderstorm is rumbling and making thunder in the distance.,"During the storm, thunder rumbles in the distance.",Laundry is being hung up on the line while the wind blows.,"Muffled wind, along with rambling and banging, were in the background.",Something has fallen onto the floor and rolled away.
Driving.wav,A loud noise from the distance accompanied by movement,A plane is taking off whilst the cabin pressure builds.,High winds blow as a vehicle engine roars,"Someone records traffic sounds, as they travel down the road.",The wind is blowing very hard and steady as a vehicle engine roars by.
drop.wav,A drop of water drips from the faucet into the pot.,A liquid substance is plopping down from a surface.,A liquid substance plops down from above to the ground below.,Oil dripping from the bottom of an engine onto the floor.,a lot of drops of water fall from a faucet and make a humming noise.
drops.wav,It is water dropping from a faucet or even a hose.,Loud dripping water which gets louder with door closing several rooms away,Loud dripping water which gradually gets louder with door closing several rooms away,Water drips from a faucet while a person moves from room to room in the background.,Water is dripping from a faucet while a person moves from room to room in the background.
Water Streaming #5.wav,A pond fountain is running steadily moving water.,A pool of water is formed from a stream as it flows over rocks.,In a brook outside water ran over the rocks.,Water from a stream flowing over rocks and collecting into a pool.,the steady flow of a pond fountain running
washingmachine2.wav,An assembly line is running in an industrial factory.,"In a rhythm, a spinning machine is weaving.",Rain is falling heavily while a weird scraping occurs in the distance.,Someone is moving stuff around while riding on a train.,"While riding on a train, someone is moving stuff around."
dworzec hala krotka.wav,"Loud indoor humming with erratic printing noises, some happy music and light conversation in the beginning, ending with footsteps.","Loud indoor humming with erratic printing noises, some happy music, light conversation in the beginning, ending with footsteps.",Machine making noises and paper printing out while people are walking by,People are talking while electronics are beeping and paper is printing.,People speaking while electronics beep and paper prints out.
PS3F_FOZ_centro_Mufato_anuncio_tarde.wav,People talk while metal trolleys move around in the background.,People talking indoors then someone sweeps the floor towards the end.,Several men are speaking loudly and a woman is speaking in the background.,Some people were engaged in a fight in a small room.,The people talking indoors are moving close when someone appears to sweep the floors at the end.
Eddy convsersacion metro flores.wav,A mechanical engine is running and someone is chatting.,A woman is interrupted by a speaker over the intercom as she is speaking.,"A woman is speaking, while in the background, a motor runs and a loudspeaker projects male and female voices.",A woman speaking and gets interrupted by a speaker over an intercom.,Woman speaking with a motor running in the background and a female and male voice over a loudspeaker.
elevator-2.wav,A metal garage door rattles while being pulled down and secured with a lock and chain.,A metal garage door rattling while being pull down and secured with a chain and lock.,Someone is unlocking and locking a metal gate loudly.,Someone is unlocking and locking a metal gate of some type.,Someone opening a door and then proceeding to close it
WalkingNiven.wav,A person walking along a snow covered path.,A person walks along a path of snow.,In the forest is a person taking rapid strides.,Something crunches material on the ground as it walks over it.,Something is walking over crunchy material on the ground .
End of rain 090616.wav,Rain drops are falling on wooden and metal surfaces.,Someone is sorting pencils and moving the chairs while the thunder is rumbling in the background,The first rumblings of a storm begin while the rain flows down the gutter.,Thunder rolling in the background while wood creaks.,Wood creaks as thunder rolls in the background.
tv contact.wav,A hum and an electric noise of a television switching on.,A hum then an electric noise from a television being switched on.,A machine makes buzzing sounds with static and no clear signal.,"A person is tuning a radio, trying to find a station.",a machines is making buzzing sounds with static and lack of clear signal
Esperance Wind Farm.wav,A car driving in the rain with the windshield wipers being used,A car is being driven in the rain with it windshield wipers in use.,"Rain coming down on a highway with some cars passing by,",Rain is falling as vehicles drive past a flooded road.,Rain pelts a highway as vehicles drive past.
Wind rustling in trees.wav,A light rain is falling while the wind roars.,A torrential downpour of steady rain in the foreground.,A torrential downpour of steady rain is happening.,It is raining and it is coming down pretty hard with a noticeable wind.,It is raining on the patio while the kitchen sliding doors are open.
thunder_clap_04.wav,"A rainstorm brings thunder crashing, but fades as time goes on.",A rainstorm while thunder crashes and fades as time goes on.,Thunder is erupting until it fades to silence.,a clap of thunder during a thunder storm,during a thunder storm there was a clap of thunder.
Evening_birds_very_light_rain_distant_thunder.wav,Electronic interference sounds consistent while the wind roars in the background in an open space.,"In the back, a muffled sound, along with continuous loud wind and rattling.",Loud continues wind and rattling in the back with muffled sound.,Low quality of a very ambient noise rendered poorly.,Squelching and static continued as the wind roared in the background.
Extractor Fan 03.wav,"A fan is turned on, blows air and is abruptly turned off.",A motor switch being turned on and a low engine sound then it being turned off,"A snap turns on a motor, it runs for a period of time and a snap turns off the motor.",An engines lever is operational and an engine slightly reverberates as it is turned off.,"The motor starts with a snap, it runs for a brief time and then turns off again with a snap."
windup_dino_slow.wav,A fast drummer playing the steady beat of the drum.,A musician steadily beats the drum at a fast pace.,"At a consistent space, a large number of clicking sounds happened.",Rapid clicking from a type of device that goes back and forth.,in a small room a machine knocking fast without any change
Wire explosions _ vibrations.wav,A disk or similar object being spun on a rail or wire attached to noisy apparatus.,"A round object, or a disk, is spun on a rail, or wire, which is attached to a loud apparatus.","Something made of metal being struck over and over, causing a strong vibrating sound each time.","Something made of elastic metal being struck repeatedly, creating strong vibrating sounds.","The door is creaking open, letting out haunted creepy sounds."
Water Sound.wav,A machine is dispensing water slowly in a cup.,An appliance dispenses water slowly into a cup.,Someone is pouring coffee into a cup while they are sitting in their car inside a garage.,Someone pouring coffee into a cup inside a garage.,The liquid falling at a rate while hitting the bottom of this
fallingrice2.wav,"Into the container, someone is pouring either beans or rice.",Someone is pouring beans or rice into a container.,Someone put a great deal of grain into a plastic can.,"Someone put some grain into a plastic can, puts more into the can and then a lot into the can.",small items being dropped onto a plastic tube
Fluro_on_warmup.wav,A high speed lathe is cutting its turning piece.,A high speed lathe is cutting at its turning piece.,An electric heater is on and it hums continuously.,An electric machine is running with consistent speed in the distance.,the steady drone of an electrical motor running
Machete vs frying pan 3.wav,A blacksmith is hitting a hammer against an anvil,A blacksmith repeatedly hits a hammer against an anvil.,A hammer working on an anvil striking over and over.,"Light, evenly spaced knocks create tiny, clanging sounds.",Metal is tapping against another piece of metal.
water_flow_roll_1.wav,The water flows down from the top of the water.,Water is bubbling and gurgling as it trickles down from a higher area.,Water is streaming and being touched and moved around.,Water is trickling down from a higher area and babbling and gurgling.,Water was flowing into a pond and a car driving by
Subway.wav,A commuter train departs from the station platform.,A subway car is speeding down the track in an underground subway station.,A subway car speeding down the track in an underground subway station.,A subway train begins to leave the station.,Departing the station platform is a commuter train.
Feria.wav,A street market filled up with people trying to buy food.,People are conversing at a market and a radio is audible.,People are talking at a market and a radio is playing.,People talk as somebody plays a stringed instrument and birds chirp,Someone plays a stringed instrument while birds tweet and people converse.
mower.wav,A distant lawn mower is started up and begins cutting grass.,A lawn mower starts and begin cutting grass in the distance.,"Pull string on internal combustion engine lawn mower, mow lawn, shut mower off.","Pull the string on internal combustion engine lawn mower, mow the lawn, shut the mower off.",The wind is blowing very hard in the background while someone is mowing the lawn.
file0680 crowd.wav,A crowd of people in a hall making incoherent speech,A lot of people are gathered together and are talking.,Bits of laughter occasionally rise above the ongoing murmur of the large crowd.,In the terminal many people are seen talking together.,The murmuring of the massive crowd makes it difficult to notice the occasional laughter.
Firefight.wav,A set of fireworks is lit and then explodes.,Fireworks are going off rapidly in different patterns.,Fireworks being set off in the distance at night.,"Off in the distance at night, fireworks are erupting.",The fireworks are lighting the dark night sky.
Fireworks End 1.wav,"Fireworks are being popped in the air, while people are speaking.","Fireworks first pop individually at intervals, and then all together at the finale.",Fireworks pop individually at intervals and then all together at the finale.,Water is lapping against the dock and fireworks are being shot into the air.,Water laps against the dock as fireworks are shot into the air
flaggstaff_cord.wav,A wooden object hits the sides of a container outside.,A wooden substance bangs the sides of an canister.,Someone tries to fix a broken object with a wrench over and over.,Wood clanking and birds chirping in the background.,wood slaps down hard while birds tweet away
Flock of sheep being moved.wav,A dog barks in a crowded area while walking through it.,A farm house with animals making noises and a dog barking.,"A dog gives a little bark, whilst sheep drown him in baas.","In a building a dog is in, a bunch of goats are crying.","Sheep in the background are baaing, whilst a dog barks."
PIT-ROIG 0.12-0.17.wav,A person is walking on leaves while birds are chirping.,A person is walking around and observing outdoors.,Feet stamp on gravel path and further off birds tweet,Water is running near by while footsteps crunch and voices talk.,footsteps along gravel with bird song in background
garbleradio.wav,A radio is playing with garbled and repeated speech of poor quality.,A radio or television plays with distorted audio.,"A radio receiver is playing different noises, there are sounds of talking, as well as sounds of operating machinery.",Distorted voices of many people including at least a woman.,"There were distorted voices of many people, at least one of them a woman."
tapemeasure1.wav,A metal ball is rolling down a wooden board and bumping into walls.,A person is assembling a metal rack while another person drags metal objects.,Close up objects being mixed up with messing with the loudness in a hollow area.,Metallic scraping throughout and clinking with tapping later.,Tiny balls fall down a gravity game for fun
